"","col","tree"
"1","Acanthocinus_griseus","Phloeocharis_subtilissima"
"2","Agrilus_angustulus","Xylostiba_bosnica"
"3","Agrilus_convexicollis","Dropephylla_ioptera"
"4","Agrilus_guerini","Leptusa_pulchella"
"5","Agrilus_olivicolor","Homalota_plana"
"6","Agrilus_sulcicollis","Phloeopora_teres"
"7","Anaspis_frontalis","Phloeopora_testacea"
"8","Anaspis_thoracica","Megatoma_undata"
"9","Anobium_fulvicorne","Ptinus_rufipes"
"10","Anthaxia_quadripunctata","Ptinus_sexpunctatus"
"11","Atomaria_pulchra","Hemicoelus_fulvicornis"
"12","Bitoma_crenata","Dorcatoma_substriata"
"13","Callidium_aeneum","Ernobius_mollis"
"14","Chlorophorus_figuratus","Ptilinus_pectinicornis"
"15","Chrysobothris_affinis","Hedobia_imperialis"
"16","Chrysobothris_igniventris","Agrilus_guerini"
"17","Cis_festivus","Agrilus_angustulus"
"18","Clytus_arietis","Agrilus_sulcicollis"
"19","Clytus_lama","Agrilus_olivicolor"
"20","Corticeus_linearis","Agrilus_convexicollis"
"21","Cryphalus_abietis","Phaenops_cyanea"
"22","Cryptolestes_corticinus","Anthaxia_quadripunctata"
"23","Cryptolestes_duplicatus","Chrysobothris_affinis"
"24","Crypturgus_cinereus","Chrysobothris_igniventris"
"25","Crypturgus_hispidulus","Orthoperus_mundus"
"26","Crypturgus_pusillus","Orthoperus_corticalis"
"27","Crypturgus_subcribrosus","Nemozoma_elongatum"
"28","Cyclorhipidion_bodoanum","Malachius_bipustulatus"
"29","Dasytes_virens","Dasytes_caeruleus"
"30","Dasytes_aeratus","Dasytes_plumbeus"
"31","Dasytes_cyaneus","Dasytes_aeratus"
"32","Dasytes_plumbeus","Dasytes_virens"
"33","Dorcatoma_substriata","Tilloidea_unifasciata"
"34","Epuraea_marseuli","Thanasimus_formicarius"
"35","Ernobius_mollis","Litargus_connexus"
"36","Ernoporus_tiliae","Mycetophagus_atomarius"
"37","Exocentrus_adspersus","Cis_festivus"
"38","Exocentrus_lusitanus","Corticeus_linearis"
"39","Grammoptera_variegata","Anaspis_frontalis"
"40","Hedobia_imperialis","Anaspis_thoracica"
"41","Homalota_plana","Vincenzellus_ruficollis"
"42","Hylesinus_oleiperda","Salpingus_planirostris"
"43","Hylobius_abietis","Salpingus_ruficollis"
"44","Leiopus_linnei","Synchita_humeralis"
"45","Leiopus_nebulosus","Bitoma_crenata"
"46","Leptophloeus_juniperi","Leiopus_nebulosus"
"47","Leptusa_pulchella","Leiopus_linnei"
"48","Litargus_connexus","Acanthocinus_griseus"
"49","Magdalis_armigera","Tetrops_praeustus"
"50","Magdalis_cerasi","Pogonocherus_hispidulus"
"51","Magdalis_ruficornis","Pogonocherus_hispidus"
"52","Magdalis_violacea","Exocentrus_adspersus"
"53","Malachius_bipustulatus","Exocentrus_lusitanus"
"54","Megatoma_undata","Saperda_scalaris"
"55","Molorchus_minor","Stenostola_ferrea"
"56","Molorchus_umbellatarum","Chlorophorus_figuratus"
"57","Mycetophagus_atomarius","Ropalopus_femoratus"
"58","Nemosoma_elongatum","Callidium_aeneum"
"59","Obrium_brunneum","Pyrrhidium_sanguineum"
"60","Obrium_cantharinum","Phymatodes_testaceus"
"61","Orthoperus_corticalis","Poecilium_pusillum"
"62","Orthoperus_mundus","Poecilium_alni"
"63","Phaenops_cyanea","Rusticoclytus_pantherinus"
"64","Phloeocharis_subtilissima","Xylotrechus_antilope"
"65","Phloeopora_teres","Clytus_arietis"
"66","Phloeopora_testacea","Clytus_lama"
"67","Phyllodrepa_ioptera","Plagionotus_arcuatus"
"68","Phymatodes_alni","Molorchus_minor"
"69","Phymatodes_pusillus","Glaphyra_umbellatarum"
"70","Phymatodes_testaceus","Obrium_cantharinum"
"71","Pityogenes_chalcographus","Obrium_brunneum"
"72","Placonotus_testaceus","Grammoptera_abdominalis"
"73","Plagionotus_arcuatus","Tetropium_gabrieli"
"74","Pogonocherus_hispidulus","Rhagium_inquisitor"
"75","Pogonocherus_hispidus","Atomaria_pulchra"
"76","Ptilinus_pectinicornis","Placonotus_testaceus"
"77","Ptinus_rufipes","Cryptolestes_duplicatus"
"78","Ptinus_sexpunctatus","Cryptolestes_corticinus"
"79","Pyrrhidium_sanguineum","Leptophloeus_juniperi"
"80","Rhagium_inquisitor","Rhizophagus_depressus"
"81","Rhaphitropis_machicus","Rhizophagus_bipustulatus"
"82","Rhizophagus_bipustulatus","Epuraea_marseuli"
"83","Rhizophagus_depressus","Silvanus_unidentatus"
"84","Rhopalopus_femoratus","Uleiota_planata"
"85","Rusticoclytus_pantherinus","Rhaphitropis_marchica"
"86","Salpingus_planirostris","Magdalis_ruficornis"
"87","Salpingus_ruficollis","Magdalis_cerasi"
"88","Saperda_scalaris","Magdalis_armigera"
"89","Scolytus_intricatus","Magdalis_violacea"
"90","Scolytus_mali","Hylobius_abietis"
"91","Scolytus_multistriatus","Xylechinus_pilosus"
"92","Scolytus_pygmaeus","Hylesinus_oleiperda"
"93","Scolytus_rugulosus","Cyclorhipidion_bodoanum"
"94","Silvanus_unidentatus","Xylosandrus_germanus"
"95","Stenostola_ferrea","Xyleborinus_saxesenii"
"96","Synchita_humeralis","Xyleborus_alni"
"97","Taphrorychus_bicolor","Anisandrus_dispar"
"98","Taphrorychus_villifrons","Xyleborus_monographus"
"99","Tetropium_gabrieli","Taphrorychus_bicolor"
"100","Tetrops_praeustus","Taphrorychus_villifrons"
"101","Thanasimus_formicarius","Scolytus_multistriatus"
"102","Tilloidea_unifasciata","Scolytus_mali"
"103","Uleiota_planata","Scolytus_rugulosus"
"104","Vincenzellus_ruficollis","Scolytus_pygmaeus"
"105","Xyleborus_alni","Scolytus_intricatus"
"106","Xyleborus_dispar","Crypturgus_hispidulus"
"107","Xyleborus_germanus","Crypturgus_pusillus"
"108","Xyleborus_monographus","Crypturgus_cinereus"
"109","Xyleborus_saxesenii","Crypturgus_subcribrosus"
"110","Xylechinus_pilosus","Pityogenes_chalcographus"
"111","Xylostiba_bosnica","Ernoporus_tiliae"
"112","Xyloterus_signatus","Trypodendron_signatum"
"113","Xylotrechus_antilope","Cryphalus_asperatus"
